dataset,depth,num_features,num_classes,num_samples_train,run_idx,seed,test_acc,test_ce,val_acc,val_ce,n_leaves,tree_depth
australian,8,38,2,552,1,1276,0.7391304347826086,5.964098960220772,0.7391304347826086,4.497488949470659,77,8
australian,8,38,2,552,2,1318,0.7391304347826086,5.45177278328516,0.7391304347826086,4.497488949470659,77,8
australian,8,38,2,552,3,1360,0.7681159420289855,4.919355383724622,0.7391304347826086,4.497488949470659,77,8
australian,8,38,2,552,4,1402,0.7681159420289855,4.919355383724622,0.7391304347826086,4.497488949470659,77,8
australian,8,38,2,552,5,1444,0.7391304347826086,5.964098960220772,0.7391304347826086,4.497488949470659,77,8
australian,12,38,2,552,1,1276,0.6811594202898551,11.502486090531015,0.6956521739130435,8.49207435379233,130,12
australian,12,38,2,552,2,1318,0.6811594202898551,11.003439489419666,0.7246376811594203,8.461937519854938,132,12
australian,12,38,2,552,3,1360,0.6811594202898551,11.502486090531015,0.6811594202898551,9.00440053072794,134,12
australian,12,38,2,552,4,1402,0.6956521739130435,10.980114302282939,0.7246376811594203,8.471983131167404,131,12
australian,12,38,2,552,5,1444,0.7101449275362319,10.457742514034864,0.7391304347826086,7.9431434138957275,132,12
lymph,4,47,2,113,1,1276,0.7333333333333333,2.8933523431912493,0.5,0.6202870012643731,8,4
lymph,4,47,2,113,2,1318,0.7333333333333333,2.8933523431912493,0.5,0.6202870012643731,8,4
lymph,4,47,2,113,3,1360,0.7333333333333333,2.8933523431912493,0.5,0.6202870012643731,8,4
lymph,4,47,2,113,4,1402,0.7333333333333333,2.8933523431912493,0.5,0.6202870012643731,8,4
lymph,4,47,2,113,5,1444,0.7333333333333333,2.8933523431912493,0.5,0.6202870012643731,8,4
lymph,8,47,2,113,1,1276,0.6,7.455147981917534,0.8571428571428571,3.006739595403381,25,7
lymph,8,47,2,113,2,1318,0.6,7.455147981917534,0.8571428571428571,3.006739595403381,25,7
lymph,8,47,2,113,3,1360,0.6,7.455147981917534,0.8571428571428571,3.006739595403381,25,7
lymph,8,47,2,113,4,1402,0.6,7.455147981917534,0.8571428571428571,3.006739595403381,25,7
lymph,8,47,2,113,5,1444,0.6,7.455147981917534,0.8571428571428571,3.006739595403381,25,7
lymph,12,47,2,113,1,1276,0.6,12.121846990534657,0.6428571428571429,0.5073213825553322,29,9
lymph,12,47,2,113,2,1318,0.6,12.121846990534657,0.6428571428571429,0.5073213825553322,29,9
lymph,12,47,2,113,3,1360,0.6,12.121846990534657,0.6428571428571429,0.5073213825553322,29,9
lymph,12,47,2,113,4,1402,0.6,12.121846990534657,0.6428571428571429,0.5073213825553322,29,9
lymph,12,47,2,113,5,1444,0.5333333333333333,14.524757216475798,0.6428571428571429,0.5073213825553322,32,9
breast,4,9,2,559,1,1276,0.9571428571428572,0.5790287408420032,0.8714285714285714,1.734524452761354,15,4
