timestamp,dataset,depth,num_features,num_classes,num_samples_train,dt_test_acc_mean,dt_test_acc_std,dt_test_ce_mean,dt_test_ce_std,dt_val_acc_mean,dt_val_acc_std
2026-04-18T01:13:36.718179,wine,8,11,7,5197,0.544923076923077,0.0006153846153845955,2.985581590703344,0.0510086617052984,0.56,0.0
2026-04-18T01:13:49.126083,wine,11,11,7,5197,0.5667692307692307,0.002853421075537133,7.263141434246842,0.05923226459340044,0.564923076923077,0.0050932139560759425
2026-04-18T01:14:00.511259,yeast,4,8,10,1187,0.3624161073825503,0.0,2.2443673500087375,0.0,0.4256756756756756,5.551115123125783e-17
2026-04-18T01:14:13.061770,yeast,8,8,10,1187,0.5476510067114094,0.005369127516778515,6.401318206276696,0.19257125741528966,0.55,0.00916531078800713
2026-04-18T01:14:24.273776,glass,4,9,6,171,0.8636363636363636,0.0,2.126562183245667,0.0,0.5714285714285714,0.0
2026-04-18T01:14:36.643564,glass,8,9,6,171,0.7818181818181819,0.0340150671524904,7.8640698303528325,1.2260272904519067,0.38095238095238093,0.030116930096841705
2026-04-18T01:14:47.841191,glass,9,9,6,171,0.8090909090909092,0.018181818181818212,6.88106110155873,0.6553391525294026,0.43809523809523804,0.019047619047619046
2026-04-18T01:15:00.076885,vehicle,4,18,4,676,0.4235294117647059,0.0,1.1677448069625516,0.0,0.5058823529411764,0.0
2026-04-18T01:15:12.471322,vehicle,8,18,4,676,0.5929411764705883,0.019115384481496377,8.821902383477124,0.47320215332414456,0.7364705882352942,0.005763505277136924
2026-04-18T01:15:25.020214,vehicle,12,18,4,676,0.6329411764705882,0.008803899733585748,13.147917382592533,0.26823815573490456,0.7482352941176471,0.011997692973159486
2026-04-18T01:15:38.380902,egg,4,14,2,11984,0.6675567423230975,0.0,0.6147235222285801,0.0,0.6588785046728972,0.0
2026-04-18T01:15:52.685396,egg,8,14,2,11984,0.779305740987984,0.00032703467860923995,0.7077180810005321,0.01178752460201262,0.745260347129506,0.0006807769711071411
2026-04-18T01:16:04.573459,egg,12,14,2,11984,0.831909212283044,0.0018595979008256727,2.3715921065209082,0.0814343591120703,0.7957276368491322,0.002273616337239867
