timestamp,dataset,depth,num_features,num_classes,num_samples_train,approach,hidden_layers,hidden_size,test_acc_mean,test_acc_std,test_ce_mean,test_ce_std,val_acc_mean,val_acc_std,num_params
2026-04-16T19:50:50.699190,australian,8,38,2,552,ffnn_1h_4,1,4,0.9130434989929199,0.0,0.5423524618148804,5.045433157511305e-05,0.8550724983215332,0.0,48
2026-04-16T19:51:13.845799,australian,8,38,2,552,ffnn_1h_8,1,8,0.9130434989929199,0.0,0.5422921538352966,3.520277973005725e-05,0.8550724983215332,0.0,88
2026-04-16T19:51:37.244619,australian,8,38,2,552,ffnn_1h_16,1,16,0.9130434989929199,0.0,0.5422933220863342,1.4469051766203374e-05,0.8550724983215332,0.0,168
2026-04-16T19:52:01.572287,australian,12,38,2,552,ffnn_1h_4,1,4,0.9275362491607666,0.0,0.5379075884819031,7.657881171035625e-05,0.8260869979858398,0.0,68
2026-04-16T19:52:25.322860,australian,12,38,2,552,ffnn_1h_8,1,8,0.9275362491607666,0.0,0.5380202770233155,0.00010946248893116205,0.8260869979858398,0.0,124
2026-04-16T19:52:47.588445,australian,12,38,2,552,ffnn_1h_16,1,16,0.9275362491607666,0.0,0.5379175305366516,8.766532008305783e-05,0.8260869979858398,0.0,236
2026-04-16T19:53:03.169358,lymph,4,47,2,113,ffnn_1h_4,1,4,0.8000000715255737,0.0,0.6272805809974671,5.609173944482132e-07,0.5714285969734192,0.0,28
2026-04-16T19:53:18.965190,lymph,4,47,2,113,ffnn_1h_8,1,8,0.8000000715255737,0.0,0.6272802472114563,5.455046266864563e-07,0.5714285969734192,0.0,52
2026-04-16T19:53:36.541769,lymph,4,47,2,113,ffnn_1h_16,1,16,0.8000000715255737,0.0,0.627279770374298,8.760057959973257e-08,0.5714285969734192,0.0,100
2026-04-16T19:53:53.518495,lymph,8,47,2,113,ffnn_1h_4,1,4,0.7333333492279053,0.0,0.679097580909729,3.7394492963214213e-07,0.5,0.0,48
2026-04-16T19:54:10.042124,lymph,8,47,2,113,ffnn_1h_8,1,8,0.7333333492279053,0.0,0.6790974617004395,4.545611373171239e-07,0.5,0.0,88
2026-04-16T19:54:25.497412,lymph,8,47,2,113,ffnn_1h_16,1,16,0.7333333492279053,0.0,0.6790976762771607,2.2492363767758858e-07,0.5,0.0,168
