dataset,depth,approach,hidden_layers,hidden_size,run_idx,seed,test_acc,test_ce,val_acc,val_ce
churn,8,ffnn_1h_4,1,4,1,1276,0.7744680643081665,0.6085194945335388,0.765625,0.612285315990448
churn,8,ffnn_1h_4,1,4,2,1318,0.7744680643081665,0.6085187792778015,0.765625,0.6122854948043823
churn,8,ffnn_1h_4,1,4,3,1360,0.7744680643081665,0.6086154580116272,0.765625,0.6122782826423645
churn,8,ffnn_1h_4,1,4,4,1402,0.7744680643081665,0.6086424589157104,0.765625,0.6122771501541138
churn,8,ffnn_1h_4,1,4,5,1444,0.7730495929718018,0.6087172627449036,0.765625,0.6122753024101257
churn,8,ffnn_1h_8,1,8,1,1276,0.7744680643081665,0.6085194945335388,0.765625,0.612285315990448
churn,8,ffnn_1h_8,1,8,2,1318,0.7744680643081665,0.6085187792778015,0.765625,0.6122854351997375
churn,8,ffnn_1h_8,1,8,3,1360,0.7744680643081665,0.6086154580116272,0.765625,0.6122782826423645
churn,8,ffnn_1h_8,1,8,4,1402,0.7744680643081665,0.6086424589157104,0.765625,0.6122771501541138
churn,8,ffnn_1h_8,1,8,5,1444,0.7730495929718018,0.6087172627449036,0.765625,0.6122753024101257
churn,8,ffnn_1h_16,1,16,1,1276,0.7744680643081665,0.6085194945335388,0.765625,0.612285315990448
churn,8,ffnn_1h_16,1,16,2,1318,0.7744680643081665,0.6085187792778015,0.765625,0.6122854948043823
churn,8,ffnn_1h_16,1,16,3,1360,0.7744680643081665,0.6086154580116272,0.765625,0.6122782230377197
churn,8,ffnn_1h_16,1,16,4,1402,0.7744680643081665,0.6086425185203552,0.765625,0.6122771501541138
churn,8,ffnn_1h_16,1,16,5,1444,0.7730495929718018,0.6087172627449036,0.765625,0.6122753024101257
churn,12,ffnn_1h_4,1,4,1,1276,0.7773049473762512,0.6067795157432556,0.7684659361839294,0.6107094883918762
churn,12,ffnn_1h_4,1,4,2,1318,0.7773049473762512,0.6068021655082703,0.7684659361839294,0.6107113361358643
churn,12,ffnn_1h_4,1,4,3,1360,0.7773049473762512,0.6070187091827393,0.7670454978942871,0.6107509732246399
churn,12,ffnn_1h_4,1,4,4,1402,0.7773049473762512,0.6068685054779053,0.7684659361839294,0.6107271313667297
churn,12,ffnn_1h_4,1,4,5,1444,0.7773049473762512,0.6067107319831848,0.7684659361839294,0.6106922626495361
churn,12,ffnn_1h_8,1,8,1,1276,0.7773049473762512,0.6067795157432556,0.7684659361839294,0.6107094883918762
churn,12,ffnn_1h_8,1,8,2,1318,0.7773049473762512,0.606802225112915,0.7684659361839294,0.6107112765312195
churn,12,ffnn_1h_8,1,8,3,1360,0.7773049473762512,0.6070187091827393,0.7670454978942871,0.6107509732246399
churn,12,ffnn_1h_8,1,8,4,1402,0.7773049473762512,0.6068685054779053,0.7684659361839294,0.6107271313667297
churn,12,ffnn_1h_8,1,8,5,1444,0.7773049473762512,0.6067107319831848,0.7684659361839294,0.6106922626495361
churn,12,ffnn_1h_16,1,16,1,1276,0.7773049473762512,0.6067795157432556,0.7684659361839294,0.6107094883918762
churn,12,ffnn_1h_16,1,16,2,1318,0.7773049473762512,0.6068021655082703,0.7684659361839294,0.6107113361358643
churn,12,ffnn_1h_16,1,16,3,1360,0.7773049473762512,0.6070187091827393,0.7670454978942871,0.6107509732246399
churn,12,ffnn_1h_16,1,16,4,1402,0.7773049473762512,0.6068685054779053,0.7684659361839294,0.6107271313667297
churn,12,ffnn_1h_16,1,16,5,1444,0.7773049473762512,0.6067107319831848,0.7684659361839294,0.6106922626495361
sonar,4,ffnn_1h_4,1,4,1,1276,0.8571428656578064,0.642453670501709,0.6666666865348816,0.6777817606925964
sonar,4,ffnn_1h_4,1,4,2,1318,0.8095238208770752,0.6428430080413818,0.7142857313156128,0.6783416271209717
sonar,4,ffnn_1h_4,1,4,3,1360,0.8571428656578064,0.6410385966300964,0.6666666865348816,0.6779506802558899
sonar,4,ffnn_1h_4,1,4,4,1402,0.8571428656578064,0.6420060396194458,0.6666666865348816,0.6781736612319946
sonar,4,ffnn_1h_4,1,4,5,1444,0.8095238208770752,0.6413859128952026,0.7142857313156128,0.6775280833244324
sonar,4,ffnn_1h_8,1,8,1,1276,0.8095238208770752,0.6414499282836914,0.6666666865348816,0.677496612071991
sonar,4,ffnn_1h_8,1,8,2,1318,0.8095238208770752,0.6426705718040466,0.7142857313156128,0.6784058809280396
sonar,4,ffnn_1h_8,1,8,3,1360,0.8095238208770752,0.6411882042884827,0.6666666865348816,0.6781684756278992
sonar,4,ffnn_1h_8,1,8,4,1402,0.8571428656578064,0.6417465209960938,0.6666666865348816,0.678125262260437
sonar,4,ffnn_1h_8,1,8,5,1444,0.8095238208770752,0.6414697170257568,0.7142857313156128,0.6776008605957031
sonar,4,ffnn_1h_16,1,16,1,1276,0.8095238208770752,0.6426041722297668,0.6666666865348816,0.6777134537696838
sonar,4,ffnn_1h_16,1,16,2,1318,0.8095238208770752,0.6431713104248047,0.7142857313156128,0.6789010167121887
sonar,4,ffnn_1h_16,1,16,3,1360,0.8095238208770752,0.6411340832710266,0.6666666865348816,0.67815762758255
sonar,4,ffnn_1h_16,1,16,4,1402,0.8571428656578064,0.6417359113693237,0.7142857313156128,0.6785910725593567
sonar,4,ffnn_1h_16,1,16,5,1444,0.8095238208770752,0.6413325071334839,0.7142857313156128,0.6776350140571594
sonar,8,ffnn_1h_4,1,4,1,1276,0.8571428656578064,0.6190932393074036,0.8095238208770752,0.611544668674469
sonar,8,ffnn_1h_4,1,4,2,1318,0.8095238208770752,0.6183327436447144,0.8095238208770752,0.6119906306266785
sonar,8,ffnn_1h_4,1,4,3,1360,0.8571428656578064,0.6216537356376648,0.761904776096344,0.6088317036628723
sonar,8,ffnn_1h_4,1,4,4,1402,0.8571428656578064,0.6192713975906372,0.8095238208770752,0.6110386252403259
sonar,8,ffnn_1h_4,1,4,5,1444,0.8571428656578064,0.6214178204536438,0.8095238208770752,0.6118314862251282
sonar,8,ffnn_1h_8,1,8,1,1276,0.8571428656578064,0.619238018989563,0.8095238208770752,0.6115509271621704
sonar,8,ffnn_1h_8,1,8,2,1318,0.8571428656578064,0.6177139282226562,0.8095238208770752,0.6111829876899719
sonar,8,ffnn_1h_8,1,8,3,1360,0.8571428656578064,0.6219670176506042,0.761904776096344,0.6090773344039917
sonar,8,ffnn_1h_8,1,8,4,1402,0.8571428656578064,0.6192742586135864,0.8095238208770752,0.6110401153564453
sonar,8,ffnn_1h_8,1,8,5,1444,0.8571428656578064,0.6215627193450928,0.8095238208770752,0.6095046997070312
sonar,8,ffnn_1h_16,1,16,1,1276,0.8095238208770752,0.6194649338722229,0.8095238208770752,0.6106465458869934
sonar,8,ffnn_1h_16,1,16,2,1318,0.8571428656578064,0.6172927021980286,0.8095238208770752,0.6106052398681641
sonar,8,ffnn_1h_16,1,16,3,1360,0.8571428656578064,0.6217483878135681,0.761904776096344,0.6089756488800049
sonar,8,ffnn_1h_16,1,16,4,1402,0.8571428656578064,0.6236674785614014,0.761904776096344,0.6119213104248047
sonar,8,ffnn_1h_16,1,16,5,1444,0.8571428656578064,0.621981143951416,0.8095238208770752,0.610255777835846
sonar,12,ffnn_1h_4,1,4,1,1276,0.9047619104385376,0.6142913103103638,0.8095238208770752,0.6113613247871399
sonar,12,ffnn_1h_4,1,4,2,1318,0.8571428656578064,0.6139565110206604,0.8095238208770752,0.6095077991485596
sonar,12,ffnn_1h_4,1,4,3,1360,0.8571428656578064,0.6146489977836609,0.8095238208770752,0.6123853921890259
sonar,12,ffnn_1h_4,1,4,4,1402,0.8571428656578064,0.6153110861778259,0.761904776096344,0.6117733120918274
sonar,12,ffnn_1h_4,1,4,5,1444,0.8571428656578064,0.6151242852210999,0.8095238208770752,0.6112112998962402
sonar,12,ffnn_1h_8,1,8,1,1276,0.9047619104385376,0.6146038770675659,0.8095238208770752,0.6111973524093628
sonar,12,ffnn_1h_8,1,8,2,1318,0.8095238208770752,0.6142469644546509,0.8095238208770752,0.6096575856208801
sonar,12,ffnn_1h_8,1,8,3,1360,0.8571428656578064,0.6140221357345581,0.8095238208770752,0.6124666333198547
sonar,12,ffnn_1h_8,1,8,4,1402,0.8571428656578064,0.6171207427978516,0.761904776096344,0.6141474843025208
sonar,12,ffnn_1h_8,1,8,5,1444,0.8571428656578064,0.6163235306739807,0.761904776096344,0.6102629899978638
