timestamp,dataset,depth,num_features,num_classes,num_samples_train,approach,optimizer,learning_rate,test_acc_mean,test_acc_std,test_ce_mean,test_ce_std,val_acc_mean,val_acc_std
2026-04-17T10:37:08.919851,sonar,12,60,2,166,ffnn_0layer,sgd,0.01,0.6761904954910278,0.0356348301309884,0.6517300128936767,0.006844680930350817,0.7714285850524902,0.06998541705092035
2026-04-17T10:37:44.554216,sonar,12,60,2,166,ffnn_0layer,sgd,0.05,0.7047619223594666,0.06317380176512681,0.6479245662689209,0.008750502488100059,0.7904762029647827,0.0645936150368276
2026-04-17T10:38:09.992513,sonar,12,60,2,166,ffnn_0layer,sgd,0.1,0.7333333492279053,0.0645936150368276,0.6442659616470336,0.011118515594207606,0.7809523940086365,0.03809523582458496
2026-04-17T10:38:30.179246,sonar,12,60,2,166,sampler,adam,0.001,0.7333333492279053,0.023328472350306783,0.6428068399429321,0.004164032201578213,0.723809540271759,0.01904761791229248
2026-04-17T10:38:47.768500,sonar,12,60,2,166,sampler,adam,0.005,0.8857142925262451,0.023328472350306783,0.6148782730102539,0.003394823050677991,0.9238095283508301,0.023328472350306783
2026-04-17T10:39:02.182260,sonar,12,60,2,166,sampler,adam,0.01,0.8666666746139526,0.01904761791229248,0.6147000074386597,0.00039956159062907353,0.800000011920929,0.01904761791229248
2026-04-17T10:39:16.234825,sonar,12,60,2,166,sampler,adam,0.05,0.8571428656578064,0.03011692830173279,0.6154003620147706,0.0019459767159437488,0.7904762029647827,0.023328472350306783
2026-04-17T10:39:31.030577,sonar,12,60,2,166,sampler,adam,0.1,0.8666666746139526,0.0356348301309884,0.6164232611656189,0.0017255229726364984,0.7809523940086365,0.023328472350306783
2026-04-17T10:39:45.259522,sonar,12,60,2,166,sampler,sgd,0.001,0.723809540271759,0.0356348301309884,0.6406632900238037,0.0032980960276844553,0.6857143044471741,0.0883201708832854
2026-04-17T10:40:00.100210,sonar,12,60,2,166,sampler,sgd,0.005,0.723809540271759,0.0356348301309884,0.6406556844711304,0.0032994170214956133,0.6857143044471741,0.0883201708832854
2026-04-17T10:40:22.259265,sonar,12,60,2,166,sampler,sgd,0.01,0.723809540271759,0.0356348301309884,0.6406467914581299,0.0033011708785972865,0.6857143044471741,0.0883201708832854
2026-04-17T10:40:39.538698,sonar,12,60,2,166,sampler,sgd,0.05,0.723809540271759,0.01904761791229248,0.6405967712402344,0.00331851351880213,0.6857143044471741,0.0883201708832854
2026-04-17T10:40:55.438555,sonar,12,60,2,166,sampler,sgd,0.1,0.723809540271759,0.01904761791229248,0.640555739402771,0.0033453759086172845,0.6761904954910278,0.08192690242194367
2026-04-17T10:43:10.687307,fico,4,23,2,8367,ffnn_0layer,adam,0.001,0.6277246475219727,0.002310335907551397,0.6806973576545715,3.7236001949218795e-05,0.5996175885200501,0.0003823995590209961
2026-04-17T10:45:29.063416,fico,4,23,2,8367,ffnn_0layer,adam,0.005,0.6275334477424621,0.00260767764525826,0.6807453632354736,8.744805425148213e-05,0.5990439772605896,0.0014308527387418897
2026-04-17T10:47:46.466699,fico,4,23,2,8367,ffnn_0layer,adam,0.01,0.6263862252235413,0.003983295115834817,0.6807694792747497,0.00011039157787852362,0.5984703660011291,0.0021800599478947443
2026-04-17T10:50:00.296316,fico,4,23,2,8367,ffnn_0layer,adam,0.05,0.6292542815208435,0.01244152496561061,0.6808873057365418,0.00032952218700001097,0.5998087882995605,0.0042583336799335856
2026-04-17T10:52:16.688464,fico,4,23,2,8367,ffnn_0layer,adam,0.1,0.6244741797447204,0.005037065271951111,0.6815853714942932,0.0008009578281950401,0.600382387638092,0.004189083391257351
2026-04-17T10:54:24.942341,fico,4,23,2,8367,ffnn_0layer,sgd,0.001,0.556596577167511,0.008832737090047083,0.6878284335136413,0.001518856252159284,0.5483747482299804,0.01454412847270504
2026-04-17T10:56:30.071077,fico,4,23,2,8367,ffnn_0layer,sgd,0.005,0.5621414899826049,0.011863943642855212,0.6875239968299866,0.001517362164196162,0.5500955939292907,0.01794269179541191
2026-04-17T10:58:40.795529,fico,4,23,2,8367,ffnn_0layer,sgd,0.01,0.5684512376785278,0.010960548152138158,0.687130618095398,0.001528284338671007,0.5590822219848632,0.006770895139466087
2026-04-17T11:00:47.001866,fico,4,23,2,8367,ffnn_0layer,sgd,0.05,0.5990439772605896,0.02471352853497074,0.6840194344520569,0.002596758000877376,0.576099407672882,0.011873170371482632
2026-04-17T11:02:59.779698,fico,4,23,2,8367,ffnn_0layer,sgd,0.1,0.6118546843528747,0.02384313381969438,0.6822839260101319,0.002211227268746631,0.5841300249099731,0.017772762812550885
2026-04-17T11:05:09.791894,fico,4,23,2,8367,sampler,adam,0.001,0.6284894704818725,0.0016668752195110668,0.6806886553764343,2.5917744518529228e-05,0.5992351651191712,0.0007154295555151035
2026-04-17T11:07:20.010950,fico,4,23,2,8367,sampler,adam,0.005,0.6269598484039307,0.0029867146373758345,0.6807249903678894,6.171946735190716e-05,0.5994263768196106,0.0010472878514023365
2026-04-17T11:09:29.616339,fico,4,23,2,8367,sampler,adam,0.01,0.6275334477424621,0.00260767764525826,0.6807453632354736,8.744805425148213e-05,0.5990439772605896,0.0014308527387418897
2026-04-17T11:11:31.579099,fico,4,23,2,8367,sampler,adam,0.05,0.62753347158432,0.007827723218141666,0.6808269500732422,0.00014286906555330977,0.5973231196403503,0.004927000429859404
2026-04-17T11:13:33.612934,fico,4,23,2,8367,sampler,adam,0.1,0.6292542815208435,0.01244152496561061,0.6808872818946838,0.00032947925349248686,0.5998087882995605,0.0042583336799335856
2026-04-17T11:15:32.094274,fico,4,23,2,8367,sampler,sgd,0.001,0.5971319198608398,0.011126055034674705,0.6858557462692261,0.001101216199567429,0.5632887244224548,0.014172372618738396
2026-04-17T11:17:35.448933,fico,4,23,2,8367,sampler,sgd,0.005,0.5986615538597106,0.012007885456730703,0.6856356501579285,0.001164000099186999,0.5640535354614258,0.015474583589672278
2026-04-17T11:19:34.542878,fico,4,23,2,8367,sampler,sgd,0.01,0.6017208337783814,0.014174964085127983,0.6853554368019104,0.0012393845796878041,0.5663479804992676,0.016027007188505207
2026-04-17T11:21:32.046033,fico,4,23,2,8367,sampler,sgd,0.05,0.6074569702148438,0.014569248678273939,0.6832459092140197,0.0015034967216664894,0.5791586995124817,0.01437725984425081
2026-04-17T11:23:34.114761,fico,4,23,2,8367,sampler,sgd,0.1,0.6120458841323853,0.004814407688668281,0.6818260073661804,0.0006354477455588284,0.5873804926872254,0.004385210044761276
2026-04-17T11:26:10.612715,fico,8,23,2,8367,ffnn_0layer,adam,0.001,0.7261950373649597,0.0009749571235684276,0.6653439998626709,6.184781982185453e-05,0.7021032452583313,0.0015533554380159737
2026-04-17T11:28:26.253446,fico,8,23,2,8367,ffnn_0layer,adam,0.005,0.7221797227859497,0.004038002601276715,0.6653720498085022,0.00015322126590534195,0.6988527536392212,0.0020053656698786125
2026-04-17T11:30:44.772953,fico,8,23,2,8367,ffnn_0layer,adam,0.01,0.7206500887870788,0.004162826096752043,0.6654053568840027,0.00019528293918515742,0.699617576599121,0.0031067204137284875
2026-04-17T11:33:10.505836,fico,8,23,2,8367,ffnn_0layer,adam,0.05,0.719502866268158,0.006584783678320763,0.6655116438865661,0.0001988994746531992,0.695602285861969,0.004548889235215533
2026-04-17T11:35:27.107891,fico,8,23,2,8367,ffnn_0layer,adam,0.1,0.7149139523506165,0.009394357909736853,0.6656472325325012,0.00019283600141749928,0.6992351770401001,0.005973417064107724
2026-04-17T11:38:08.472926,fico,8,23,2,8367,ffnn_0layer,sgd,0.001,0.632695984840393,0.05337109960797552,0.6825927257537842,0.005618542381437532,0.6114722847938537,0.047803432066181185
2026-04-17T11:40:58.412177,fico,8,23,2,8367,ffnn_0layer,sgd,0.005,0.6644359469413758,0.06167051648808296,0.6773743987083435,0.007338626476348761,0.6409177780151367,0.05861785447577222
2026-04-17T11:43:28.539630,fico,8,23,2,8367,ffnn_0layer,sgd,0.01,0.7026768565177918,0.04734775013928158,0.6717178225517273,0.006852294498659173,0.6724665284156799,0.05277593210763946
2026-04-17T11:46:11.260076,fico,8,23,2,8367,ffnn_0layer,sgd,0.05,0.7267686486244201,0.001644805653555042,0.6659636259078979,0.0007037113287084526,0.704780113697052,0.003843170610058145
2026-04-17T11:48:24.941215,fico,8,23,2,8367,ffnn_0layer,sgd,0.1,0.7250477910041809,0.001430851145789523,0.6653696060180664,0.00014925783604634332,0.7066921472549439,0.004249726703153443
2026-04-17T11:50:30.111309,fico,8,23,2,8367,sampler,adam,0.001,0.7256214141845703,0.0013520287534598003,0.6652960777282715,3.97263951346804e-05,0.7013384222984314,0.0009749501099229018
2026-04-17T11:52:36.297787,fico,8,23,2,8367,sampler,adam,0.005,0.7237093687057495,0.0033664905934832033,0.6653640270233154,0.00010615064133120309,0.7007648110389709,0.002094548497067338
2026-04-17T11:54:40.566429,fico,8,23,2,8367,sampler,adam,0.01,0.7221797227859497,0.004038002601276715,0.6653720498085022,0.00015322126590534195,0.6988527536392212,0.0020053656698786125
2026-04-17T11:56:48.934761,fico,8,23,2,8367,sampler,adam,0.05,0.7216061115264892,0.003546315677713086,0.6654941320419312,0.0002510396255691135,0.700382399559021,0.00693627853888056
2026-04-17T11:59:02.817856,fico,8,23,2,8367,sampler,adam,0.1,0.719502866268158,0.006584783678320763,0.6655116438865661,0.000198916160498729,0.695602285861969,0.004548889235215533
2026-04-17T12:01:13.904626,fico,8,23,2,8367,sampler,sgd,0.001,0.6644359350204467,0.04227740872909725,0.6796722769737243,0.005525660237849436,0.6491395831108093,0.05313629525864837
2026-04-17T12:03:13.896505,fico,8,23,2,8367,sampler,sgd,0.005,0.6841300129890442,0.04412065148340331,0.67614905834198,0.0060533053365000485,0.671319305896759,0.05336422298989989
2026-04-17T12:05:13.752501,fico,8,23,2,8367,sampler,sgd,0.01,0.7072657704353332,0.01755962171106485,0.6729737997055054,0.0054729777961396095,0.6990439772605896,0.011808324357125543
2026-04-17T12:07:19.403112,fico,8,23,2,8367,sampler,sgd,0.05,0.7281070828437806,0.00624276903194707,0.668020224571228,0.00034855599585055036,0.7040152907371521,0.0035048246389748974
2026-04-17T12:09:22.095097,fico,8,23,2,8367,sampler,sgd,0.1,0.7326959729194641,0.003707599643533833,0.666897976398468,0.0003888969160404814,0.7030592560768127,0.002536611020447776
2026-04-17T12:12:05.898038,fico,12,23,2,8367,ffnn_0layer,adam,0.001,0.7254302024841308,0.001853787526265478,0.6616063117980957,5.0589548909323485e-05,0.705162513256073,0.001296804604467462
2026-04-17T12:14:51.334719,fico,12,23,2,8367,ffnn_0layer,adam,0.005,0.7256214022636414,0.0017101961290887774,0.6616569638252259,0.0001247949859432514,0.7030592679977417,0.001968567369594007
2026-04-17T12:17:32.526356,fico,12,23,2,8367,ffnn_0layer,adam,0.01,0.7252389907836914,0.001968566211685062,0.6617063283920288,0.00016566549752865855,0.7024856567382812,0.0027970906855554964
2026-04-17T12:20:11.965472,fico,12,23,2,8367,ffnn_0layer,adam,0.05,0.7263862490653992,0.004074040977496501,0.6616673469543457,0.0001804531580352213,0.7,0.0027309483563663275
2026-04-17T12:22:56.941069,fico,12,23,2,8367,ffnn_0layer,adam,0.1,0.7267686486244201,0.003983296260253492,0.6616791486740112,0.0002578207380894692,0.7017208337783813,0.0038240939379098403
2026-04-17T12:25:17.019250,fico,12,23,2,8367,ffnn_0layer,sgd,0.001,0.6495219826698303,0.0323898540395761,0.6812373518943786,0.003932267943650598,0.6399617552757263,0.03013276005591208
2026-04-17T12:27:39.124170,fico,12,23,2,8367,ffnn_0layer,sgd,0.005,0.6648183584213256,0.036467487275758555,0.6774889588356018,0.0070876485386572674,0.6543020963668823,0.03827722534522873
2026-04-17T12:30:04.843979,fico,12,23,2,8367,ffnn_0layer,sgd,0.01,0.6743785858154296,0.03739309834386002,0.6755683064460755,0.00776207669472964,0.662141489982605,0.03862898978532077
2026-04-17T12:32:31.138455,fico,12,23,2,8367,ffnn_0layer,sgd,0.05,0.7254302024841308,0.0021291748689726752,0.6631553053855896,0.0008080393281214341,0.7082217931747437,0.002522156149069128
2026-04-17T12:34:51.401175,fico,12,23,2,8367,ffnn_0layer,sgd,0.1,0.7277246475219726,0.0011148992053058022,0.6615791320800781,4.728043910604387e-05,0.7093690156936645,0.0015997348707423992
2026-04-17T12:37:17.972159,fico,12,23,2,8367,sampler,adam,0.001,0.7277246713638306,0.0015296190977532047,0.6615785002708435,3.262411323154451e-05,0.7049713015556336,0.0007648229598999024
2026-04-17T12:39:36.105519,fico,12,23,2,8367,sampler,adam,0.005,0.7254302024841308,0.001949915415903169,0.6616281986236572,8.915234229766203e-05,0.7042064905166626,0.0012968151503141446
2026-04-17T12:41:54.793471,fico,12,23,2,8367,sampler,adam,0.01,0.7256214022636414,0.0017101961290887774,0.6616569519042969,0.00012479867653216102,0.7030592679977417,0.001968567369594007
2026-04-17T12:44:13.452061,fico,12,23,2,8367,sampler,adam,0.05,0.7256214141845703,0.0013520287534598005,0.661661171913147,0.0001661158142535428,0.7028680562973022,0.0033881481079529436
2026-04-17T12:46:33.285955,fico,12,23,2,8367,sampler,adam,0.1,0.7263862490653992,0.004074040977496501,0.6616673469543457,0.0001804531580352213,0.7,0.0027309483563663275
2026-04-17T12:48:43.819564,fico,12,23,2,8367,sampler,sgd,0.001,0.6915870070457458,0.013060820505189374,0.6764705181121826,0.004752968155774298,0.6671128034591675,0.02343641895902195
2026-04-17T12:50:51.251858,fico,12,23,2,8367,sampler,sgd,0.005,0.7013384222984314,0.01387517431422246,0.6734831809997559,0.004608453609511592,0.6782026767730713,0.022409301349784295
2026-04-17T12:53:08.232205,fico,12,23,2,8367,sampler,sgd,0.01,0.7101338505744934,0.012470876431245722,0.6706891894340515,0.0037609268410619392,0.6900573611259461,0.01772540774172322
2026-04-17T12:55:40.193356,fico,12,23,2,8367,sampler,sgd,0.05,0.7237093806266784,0.0026355762690307284,0.66575927734375,0.0008433961660497355,0.6984703540802002,0.002744292063974401
2026-04-17T12:57:54.218973,fico,12,23,2,8367,sampler,sgd,0.1,0.7275334596633911,0.004484156831446759,0.663190770149231,0.000555709299756179,0.7076481819152832,0.0016448070393845053
2026-04-17T13:00:44.555029,drybean,4,16,7,10888,ffnn_0layer,adam,0.001,0.6582966327667237,0.0009959309188382274,1.902726697921753,2.3330936093759667e-06,0.6158706784248352,0.0010798523447259033
2026-04-17T13:03:37.592755,drybean,4,16,7,10888,ffnn_0layer,adam,0.005,0.6574155688285828,0.0035546916599775587,1.902744507789612,2.559669682225032e-05,0.6146950721740723,0.0033702795643021986
2026-04-17T13:06:31.460406,drybean,4,16,7,10888,ffnn_0layer,adam,0.01,0.6572687149047851,0.005521750758067194,1.9027735948562623,3.649567819777656e-05,0.6135194540023804,0.006405440841592854
2026-04-17T13:09:25.814296,drybean,4,16,7,10888,ffnn_0layer,adam,0.05,0.6402349352836609,0.0265619133285595,1.9037460088729858,0.001401391220413688,0.6026451110839843,0.021297210777541924
2026-04-17T13:12:17.253375,drybean,4,16,7,10888,ffnn_0layer,adam,0.1,0.6497797250747681,0.0452909794371687,1.903872275352478,0.0013376056794064453,0.6295370936393738,0.0478919749645344
2026-04-17T13:14:59.891731,drybean,4,16,7,10888,ffnn_0layer,sgd,0.001,0.5370043992996216,0.05500750443040709,1.9120209455490111,0.005162710160814815,0.5207935273647308,0.044843822724311554
