dataset,depth,approach,optimizer,learning_rate,run_idx,seed,test_acc,test_ce,val_acc,val_ce
car,4,sampler,adam,0.005,3,1360,0.8034681677818298,1.2599728107452393,0.7919074892997742,1.2558557987213135
car,4,sampler,adam,0.005,4,1402,0.8034681677818298,1.2599868774414062,0.7919074892997742,1.255865454673767
car,4,sampler,adam,0.005,5,1444,0.8034681677818298,1.2599784135818481,0.7919074892997742,1.255858302116394
car,4,sampler,adam,0.01,1,1276,0.8034681677818298,1.2599890232086182,0.7919074892997742,1.2558674812316895
car,4,sampler,adam,0.01,2,1318,0.8034681677818298,1.2599732875823975,0.7919074892997742,1.255853533744812
car,4,sampler,adam,0.01,3,1360,0.8034681677818298,1.2599722146987915,0.7919074892997742,1.2558557987213135
car,4,sampler,adam,0.01,4,1402,0.8034681677818298,1.2599743604660034,0.7919074892997742,1.2558549642562866
car,4,sampler,adam,0.01,5,1444,0.8034681677818298,1.2599858045578003,0.7919074892997742,1.2558649778366089
car,4,sampler,adam,0.05,1,1276,0.8034681677818298,1.260054588317871,0.7919074892997742,1.2559294700622559
car,4,sampler,adam,0.05,2,1318,0.8034681677818298,1.2599951028823853,0.7919074892997742,1.2558727264404297
car,4,sampler,adam,0.05,3,1360,0.8034681677818298,1.260012149810791,0.7919074892997742,1.2558900117874146
car,4,sampler,adam,0.05,4,1402,0.8034681677818298,1.2599741220474243,0.7919074892997742,1.2558530569076538
car,4,sampler,adam,0.05,5,1444,0.8034681677818298,1.2600055932998657,0.7919074892997742,1.2558833360671997
car,4,sampler,adam,0.1,1,1276,0.8034681677818298,1.2599806785583496,0.7919074892997742,1.2558629512786865
car,4,sampler,adam,0.1,2,1318,0.8034681677818298,1.2600220441818237,0.7919074892997742,1.2558954954147339
car,4,sampler,adam,0.1,3,1360,0.8034681677818298,1.2599563598632812,0.7919074892997742,1.2558400630950928
car,4,sampler,adam,0.1,4,1402,0.8034681677818298,1.2600454092025757,0.7919074892997742,1.255916953086853
