dataset,depth,approach,optimizer,learning_rate,run_idx,seed,test_acc,test_ce,val_acc,val_ce
iris,4,sampler,adam,0.05,3,1360,1.0,0.9435679912567139,0.9333333969116211,0.9238091111183167
iris,4,sampler,adam,0.05,4,1402,1.0,0.9417971968650818,0.9333333969116211,0.9244630336761475
iris,4,sampler,adam,0.05,5,1444,1.0,0.9467726349830627,0.9333333969116211,0.922763466835022
iris,4,sampler,adam,0.1,1,1276,1.0,0.9421596527099609,0.9333333969116211,0.9231944680213928
iris,4,sampler,adam,0.1,2,1318,1.0,0.9406946897506714,0.9333333969116211,0.9203327894210815
iris,4,sampler,adam,0.1,3,1360,1.0,0.9446189403533936,0.9333333969116211,0.9235075116157532
iris,4,sampler,adam,0.1,4,1402,1.0,0.9413947463035583,0.9333333969116211,0.9245174527168274
iris,4,sampler,adam,0.1,5,1444,1.0,0.9465259909629822,0.9333333969116211,0.9209014773368835
iris,4,sampler,sgd,0.001,1,1276,0.8666667342185974,1.0097479820251465,0.8666667342185974,0.9985954761505127
iris,4,sampler,sgd,0.001,2,1318,0.9333333969116211,0.9871841073036194,0.9333333969116211,0.9692946076393127
iris,4,sampler,sgd,0.001,3,1360,0.8666667342185974,1.0102813243865967,0.9333333969116211,0.9942766427993774
iris,4,sampler,sgd,0.001,4,1402,0.9333333969116211,0.9910342693328857,0.9333333969116211,0.977910578250885
iris,4,sampler,sgd,0.001,5,1444,0.9333333969116211,0.9968324303627014,0.8666667342185974,0.98647141456604
iris,4,sampler,sgd,0.005,1,1276,0.8000000715255737,1.0095690488815308,0.8666667342185974,0.9981161952018738
iris,4,sampler,sgd,0.005,2,1318,0.9333333969116211,0.985896110534668,0.9333333969116211,0.9677659273147583
iris,4,sampler,sgd,0.005,3,1360,0.8666667342185974,1.0100853443145752,0.9333333969116211,0.9937741160392761
iris,4,sampler,sgd,0.005,4,1402,0.9333333969116211,0.9906529188156128,0.9333333969116211,0.977380633354187
iris,4,sampler,sgd,0.005,5,1444,0.9333333969116211,0.9966486692428589,0.8666667342185974,0.9861122369766235
iris,4,sampler,sgd,0.01,1,1276,0.8000000715255737,1.009335994720459,0.9333333969116211,0.9975073933601379
iris,4,sampler,sgd,0.01,2,1318,0.9333333969116211,0.9842199087142944,0.9333333969116211,0.9657896757125854
iris,4,sampler,sgd,0.01,3,1360,0.8666667342185974,1.009832501411438,0.9333333969116211,0.9931299686431885
iris,4,sampler,sgd,0.01,4,1402,0.9333333969116211,0.9901800751686096,0.9333333969116211,0.9767252206802368
iris,4,sampler,sgd,0.01,5,1444,0.9333333969116211,0.9964206218719482,0.8666667342185974,0.9856619238853455
iris,4,sampler,sgd,0.05,1,1276,0.8000000715255737,1.0070862770080566,0.8666667342185974,0.9922769665718079
