timestamp,dataset,depth,num_features,num_classes,num_samples_train,approach,test_acc_mean,test_acc_std,test_ce_mean,test_ce_std,val_acc_mean,val_acc_std,num_params
2026-04-16T15:22:24.114676,heart,12,20,2,189,ffnn_0layer_bias,0.6585365533828735,0.0,0.6520211338996887,0.000372257968706454,0.8550000190734863,0.009999990463256836,24
2026-04-16T15:22:40.602802,heart,12,20,2,189,ffnn_0layer_nobias,0.6585365533828735,0.0,0.6525872707366943,0.00013965901522564232,0.8550000190734863,0.009999990463256836,24
2026-04-16T15:22:58.001628,heart,12,20,2,189,sampler,0.6585365533828735,0.0,0.6526282668113709,0.00015835223132052703,0.8550000190734863,0.009999990463256836,12
2026-04-16T15:23:19.048359,ecoli,4,6,5,228,ffnn_0layer_bias,0.671999990940094,0.009797978827264088,1.5355109930038453,0.0004309094741541837,0.5510203838348389,0.0,8
2026-04-16T15:23:37.372292,ecoli,4,6,5,228,ffnn_0layer_nobias,0.7999999523162842,0.0,1.507692575454712,0.0001402301593304244,0.8530612230300904,0.00816328525543213,8
2026-04-16T15:23:56.476178,ecoli,4,6,5,228,sampler,0.7999999523162842,0.0,1.507693314552307,0.00014045429317477708,0.8530612230300904,0.00816328525543213,4
2026-04-16T15:24:19.814180,ecoli,6,6,5,228,ffnn_0layer_bias,0.8239999890327454,0.007999992370605467,1.4862000465393066,0.0003618679195344795,0.9020408034324646,0.008163261413574218,12
2026-04-16T15:24:41.318574,ecoli,6,6,5,228,ffnn_0layer_nobias,0.8199999928474426,0.0,1.4861638784408568,0.0001650534542890949,0.9102040648460388,0.009997912550103879,12
2026-04-16T15:25:00.355204,ecoli,6,6,5,228,sampler,0.8199999928474426,0.0,1.4861637592315673,0.0001650995105604726,0.9102040648460388,0.009997912550103879,6
2026-04-16T15:25:58.795105,led7,4,7,8,1794,ffnn_0layer_bias,0.7558441162109375,0.0,1.9988539218902588,0.0,0.7161458730697632,0.0,8
2026-04-16T15:26:41.322772,led7,4,7,8,1794,ffnn_0layer_nobias,0.5298700928688049,0.0,2.0304732799530028,9.536743164062499e-08,0.53125,0.0,8
2026-04-16T15:27:21.518589,led7,4,7,8,1794,sampler,0.5298700928688049,0.0,2.0304732799530028,9.536743164062499e-08,0.53125,0.0,4
2026-04-16T15:28:06.168604,led7,7,7,8,1794,ffnn_0layer_bias,0.8025974035263062,0.0,1.9786876916885376,2.2258644136397946e-06,0.7994791865348816,0.0,14
2026-04-16T15:28:49.267830,led7,7,7,8,1794,ffnn_0layer_nobias,0.8025974035263062,0.0,1.9786887884140014,1.7219038090961255e-06,0.7994791865348816,0.0,14
2026-04-16T15:29:30.516236,led7,7,7,8,1794,sampler,0.8025974035263062,0.0,1.9786887884140014,1.7219038090961255e-06,0.7994791865348816,0.0,7
2026-04-16T15:32:01.341863,compas,4,12,2,8446,ffnn_0layer_bias,0.6952651739120483,0.0011043561188197725,0.6526524901390076,0.00014503184320847668,0.6696970105171204,0.0015151545405790888,8
2026-04-16T15:34:27.093300,compas,4,12,2,8446,ffnn_0layer_nobias,0.669507622718811,0.0,0.6681847929954529,6.874976565979107e-07,0.6420454978942871,0.0,8
2026-04-16T15:36:45.310980,compas,4,12,2,8446,sampler,0.669507622718811,0.0,0.6681847691535949,7.12668188936001e-07,0.6420454978942871,0.0,4
2026-04-16T15:39:19.576371,compas,8,12,2,8446,ffnn_0layer_bias,0.6689394116401672,0.0022884682931520245,0.6554649114608765,2.0576732009892982e-05,0.6564394235610962,0.0009278361389271674,16
2026-04-16T15:43:36.913471,compas,8,12,2,8446,ffnn_0layer_nobias,0.668750011920929,0.0017358328769159356,0.6554545521736145,1.7252125549549442e-05,0.6558712363243103,0.0011363704999635298,16
2026-04-16T15:45:56.328263,compas,8,12,2,8446,sampler,0.668750011920929,0.0017358328769159356,0.6554545521736145,1.7252125549549442e-05,0.6558712363243103,0.0011363704999635298,8
2026-04-16T15:51:11.411726,compas,12,12,2,8446,ffnn_0layer_bias,0.6982954859733581,0.0004639326695601837,0.6523502588272094,1.4029895197947653e-05,0.6791666865348815,0.001629218401885214,24
2026-04-16T15:55:08.733985,compas,12,12,2,8446,ffnn_0layer_nobias,0.6975379109382629,0.0009657271476123823,0.6523288488388062,1.2630841637049183e-05,0.6801136493682861,0.0012562996653223105,24
2026-04-16T15:58:36.625367,compas,12,12,2,8446,sampler,0.6975379109382629,0.0009657271476123823,0.6523288488388062,1.2630841637049183e-05,0.6801136493682861,0.0012562996653223105,12
