dataset,depth,approach,run_idx,seed,test_acc,test_ce,val_acc,val_ce
breast,4,ffnn_0layer_nobias,1,1276,0.9714285731315613,0.5134228467941284,0.9142857193946838,0.5301284193992615
breast,4,ffnn_0layer_nobias,2,1318,0.9714285731315613,0.5134099125862122,0.9142857193946838,0.5300260782241821
breast,4,ffnn_0layer_nobias,3,1360,0.9714285731315613,0.5133841037750244,0.9142857193946838,0.5301136374473572
breast,4,ffnn_0layer_nobias,4,1402,0.9714285731315613,0.5135067701339722,0.9142857193946838,0.5301876664161682
breast,4,ffnn_0layer_nobias,5,1444,0.9714285731315613,0.5132023096084595,0.9142857193946838,0.5302567481994629
breast,4,sampler,1,1276,0.9714285731315613,0.513422966003418,0.9142857193946838,0.5301288962364197
breast,4,sampler,2,1318,0.9714285731315613,0.5134099125862122,0.9142857193946838,0.5300260782241821
breast,4,sampler,3,1360,0.9714285731315613,0.5133840441703796,0.9142857193946838,0.5301133990287781
breast,4,sampler,4,1402,0.9714285731315613,0.5135068297386169,0.9142857193946838,0.5301876664161682
breast,4,sampler,5,1444,0.9714285731315613,0.5132054090499878,0.9142857193946838,0.530261218547821
breast,8,ffnn_0layer_bias,1,1276,0.985714316368103,0.5030384063720703,0.9285714626312256,0.5277986526489258
breast,8,ffnn_0layer_bias,2,1318,0.985714316368103,0.503598153591156,0.9285714626312256,0.5274951457977295
breast,8,ffnn_0layer_bias,3,1360,0.9714285731315613,0.5042580366134644,0.9285714626312256,0.5273308753967285
breast,8,ffnn_0layer_bias,4,1402,0.9714285731315613,0.5043806433677673,0.9285714626312256,0.5259279012680054
breast,8,ffnn_0layer_bias,5,1444,0.985714316368103,0.504008948802948,0.9285714626312256,0.5265180468559265
breast,8,ffnn_0layer_nobias,1,1276,0.985714316368103,0.5033754706382751,0.9285714626312256,0.5279142260551453
breast,8,ffnn_0layer_nobias,2,1318,0.985714316368103,0.5036488175392151,0.9142857193946838,0.5275644063949585
breast,8,ffnn_0layer_nobias,3,1360,0.9714285731315613,0.5038546323776245,0.9285714626312256,0.527474582195282
breast,8,ffnn_0layer_nobias,4,1402,0.9714285731315613,0.5040052533149719,0.9285714626312256,0.5265930891036987
breast,8,ffnn_0layer_nobias,5,1444,0.985714316368103,0.5037589073181152,0.9285714626312256,0.5268468260765076
breast,8,sampler,1,1276,0.985714316368103,0.5033745169639587,0.9285714626312256,0.5279098749160767
breast,8,sampler,2,1318,0.985714316368103,0.5036441683769226,0.9142857193946838,0.5275788307189941
breast,8,sampler,3,1360,0.9714285731315613,0.5038629174232483,0.9285714626312256,0.5274690985679626
breast,8,sampler,4,1402,0.9714285731315613,0.504004716873169,0.9285714626312256,0.5266005396842957
breast,8,sampler,5,1444,0.985714316368103,0.5037596821784973,0.9285714626312256,0.5268421173095703
breast,9,ffnn_0layer_bias,1,1276,1.0,0.5023723840713501,0.9285714626312256,0.5239740610122681
breast,9,ffnn_0layer_bias,2,1318,1.0,0.5032083988189697,0.9285714626312256,0.5229746103286743
breast,9,ffnn_0layer_bias,3,1360,0.985714316368103,0.5033928155899048,0.9285714626312256,0.5233801007270813
breast,9,ffnn_0layer_bias,4,1402,1.0,0.5032739043235779,0.9285714626312256,0.5219218134880066
breast,9,ffnn_0layer_bias,5,1444,1.0,0.5030127167701721,0.9285714626312256,0.5226942896842957
breast,9,ffnn_0layer_nobias,1,1276,1.0,0.5027860999107361,0.9285714626312256,0.5238205790519714
breast,9,ffnn_0layer_nobias,2,1318,1.0,0.5031619668006897,0.9285714626312256,0.5231862664222717
breast,9,ffnn_0layer_nobias,3,1360,0.985714316368103,0.5029501914978027,0.9285714626312256,0.5235883593559265
breast,9,ffnn_0layer_nobias,4,1402,1.0,0.5029100775718689,0.9285714626312256,0.5226482152938843
breast,9,ffnn_0layer_nobias,5,1444,1.0,0.502963662147522,0.9285714626312256,0.5229445099830627
breast,9,sampler,1,1276,1.0,0.5027846097946167,0.9285714626312256,0.5238208770751953
breast,9,sampler,2,1318,1.0,0.5031660795211792,0.9285714626312256,0.5231930613517761
breast,9,sampler,3,1360,0.985714316368103,0.5029540061950684,0.9285714626312256,0.5235894322395325
breast,9,sampler,4,1402,1.0,0.5029104351997375,0.9285714626312256,0.5226539373397827
breast,9,sampler,5,1444,1.0,0.5029633641242981,0.9285714626312256,0.5229449272155762
heart,4,ffnn_0layer_bias,1,1276,0.5609756112098694,0.6655871868133545,0.625,0.6628143191337585
heart,4,ffnn_0layer_bias,2,1318,0.5609756112098694,0.6651241779327393,0.625,0.6632040143013
heart,4,ffnn_0layer_bias,3,1360,0.5609756112098694,0.6647982001304626,0.625,0.6635735630989075
heart,4,ffnn_0layer_bias,4,1402,0.5609756112098694,0.6651989221572876,0.625,0.6644282937049866
heart,4,ffnn_0layer_bias,5,1444,0.5609756112098694,0.6649056673049927,0.625,0.6634342074394226
heart,4,ffnn_0layer_nobias,1,1276,0.707317054271698,0.6383621692657471,0.824999988079071,0.5862329602241516
heart,4,ffnn_0layer_nobias,2,1318,0.707317054271698,0.6384665966033936,0.824999988079071,0.5867694616317749
heart,4,ffnn_0layer_nobias,3,1360,0.707317054271698,0.6385113596916199,0.824999988079071,0.5869429707527161
heart,4,ffnn_0layer_nobias,4,1402,0.707317054271698,0.6383197903633118,0.824999988079071,0.5856139063835144
heart,4,ffnn_0layer_nobias,5,1444,0.707317054271698,0.6383593082427979,0.824999988079071,0.5865355134010315
heart,4,sampler,1,1276,0.707317054271698,0.63837069272995,0.824999988079071,0.5862330198287964
heart,4,sampler,2,1318,0.707317054271698,0.6384627819061279,0.824999988079071,0.586758017539978
heart,4,sampler,3,1360,0.707317054271698,0.6385146975517273,0.824999988079071,0.586943507194519
heart,4,sampler,4,1402,0.707317054271698,0.6383212208747864,0.824999988079071,0.5856142640113831
heart,4,sampler,5,1444,0.707317054271698,0.6384183168411255,0.824999988079071,0.5865347385406494
heart,8,ffnn_0layer_bias,1,1276,0.7560975551605225,0.6221791505813599,0.7750000357627869,0.5914947390556335
heart,8,ffnn_0layer_bias,2,1318,0.7560975551605225,0.6204609274864197,0.7750000357627869,0.5941033363342285
heart,8,ffnn_0layer_bias,3,1360,0.7560975551605225,0.6219346523284912,0.7750000357627869,0.5916875600814819
heart,8,ffnn_0layer_bias,4,1402,0.7560975551605225,0.6215635538101196,0.7750000357627869,0.5922614336013794
heart,8,ffnn_0layer_bias,5,1444,0.7560975551605225,0.6211856007575989,0.7750000357627869,0.5926772356033325
heart,8,ffnn_0layer_nobias,1,1276,0.7560975551605225,0.6215166449546814,0.7750000357627869,0.5920764207839966
heart,8,ffnn_0layer_nobias,2,1318,0.7560975551605225,0.6208528280258179,0.7750000357627869,0.5932915210723877
heart,8,ffnn_0layer_nobias,3,1360,0.7560975551605225,0.6216040849685669,0.7750000357627869,0.5922433733940125
heart,8,ffnn_0layer_nobias,4,1402,0.7560975551605225,0.6217353940010071,0.7750000357627869,0.5920872688293457
heart,8,ffnn_0layer_nobias,5,1444,0.7560975551605225,0.6211194396018982,0.7750000357627869,0.5925880074501038
heart,8,sampler,1,1276,0.7560975551605225,0.6215474009513855,0.7750000357627869,0.5921502709388733
heart,8,sampler,2,1318,0.7560975551605225,0.6208447217941284,0.7750000357627869,0.5932412147521973
heart,8,sampler,3,1360,0.7560975551605225,0.6216059327125549,0.7750000357627869,0.5921587944030762
heart,8,sampler,4,1402,0.7560975551605225,0.6217368245124817,0.7750000357627869,0.5920532941818237
heart,8,sampler,5,1444,0.7560975551605225,0.6211421489715576,0.7750000357627869,0.5926594734191895
heart,12,ffnn_0layer_bias,1,1276,0.6585365533828735,0.6516662836074829,0.8500000238418579,0.5629852414131165
heart,12,ffnn_0layer_bias,2,1318,0.6585365533828735,0.6518905162811279,0.8500000238418579,0.5640597939491272
heart,12,ffnn_0layer_bias,3,1360,0.6585365533828735,0.6527378559112549,0.875,0.5618955492973328
heart,12,ffnn_0layer_bias,4,1402,0.6585365533828735,0.6519743204116821,0.8500000238418579,0.5623098015785217
heart,12,ffnn_0layer_bias,5,1444,0.6585365533828735,0.6518366932868958,0.8500000238418579,0.5628250241279602
heart,12,ffnn_0layer_nobias,1,1276,0.6585365533828735,0.6526908278465271,0.8500000238418579,0.5628993511199951
heart,12,ffnn_0layer_nobias,2,1318,0.6585365533828735,0.6525111794471741,0.8500000238418579,0.5631411671638489
heart,12,ffnn_0layer_nobias,3,1360,0.6585365533828735,0.6527822017669678,0.875,0.561872124671936
heart,12,ffnn_0layer_nobias,4,1402,0.6585365533828735,0.6525716781616211,0.8500000238418579,0.5622158050537109
heart,12,ffnn_0layer_nobias,5,1444,0.6585365533828735,0.6523804664611816,0.8500000238418579,0.5629100203514099
heart,12,sampler,1,1276,0.6585365533828735,0.6527045369148254,0.8500000238418579,0.5628421902656555
heart,12,sampler,2,1318,0.6585365533828735,0.6524306535720825,0.8500000238418579,0.5630675554275513
heart,12,sampler,3,1360,0.6585365533828735,0.652877688407898,0.875,0.5618704557418823
heart,12,sampler,4,1402,0.6585365533828735,0.6526352763175964,0.8500000238418579,0.5621508955955505
heart,12,sampler,5,1444,0.6585365533828735,0.6524931788444519,0.8500000238418579,0.5628638863563538
